name,biography,photo,birth_date,death_date,nationality
Robert Kiyosaki,"Doanh nhân, tác giả người Mỹ. Ông nổi tiếng với bộ sách 'Cha Giàu, Cha Nghèo' (Rich Dad, Poor Dad) thay đổi quan niệm về giáo dục tài chính cá nhân.",,1947-08-04,,Hoa Kỳ
Robert Louis Stenson,"Tác giả, chuyên gia tư vấn. Ông viết về phát triển bản thân và các nguyên tắc thành công trong cuộc sống và sự nghiệp.",,,,Hoa Kỳ
Robert Moore,"Nhà phân tích, chuyên gia về đầu tư tài chính. Ông thường viết về các chiến lược giao dịch trên thị trường chứng khoán.",,1940-01-01,,Hoa Kỳ
Robert Philip,"Tác giả sách về sức khỏe và y học. Ông chuyên viết về dinh dưỡng, ăn kiêng và các phương pháp chăm sóc sức khỏe toàn diện.",,1945-01-01,,Anh
Robert S. Kaplan,"Giáo sư danh dự tại Đại học Harvard. Ông là đồng sáng tạo mô hình 'Thẻ điểm cân bằng' (Balanced Scorecard), công cụ quản trị chiến lược được sử dụng rộng rãi toàn cầu.",,1940-02-05,,Hoa Kỳ
Robert S. McNamara,Cựu Bộ trưởng Bộ Quốc phòng Hoa Kỳ. Ông là Chủ tịch Ngân hàng Thế giới. Ông viết hồi ký 'In Retrospect' về những bài học từ cuộc chiến Việt Nam.,,1916-09-06,2009-06-07,Hoa Kỳ
Robert Winston,"Giáo sư, bác sĩ, nhà khoa học người Anh. Ông là một nhà phổ biến khoa học nổi tiếng trên truyền hình và tác giả các sách về cơ thể người, sinh sản.",,1940-07-15,,Anh
Robin Hanson,"Nhà kinh tế học người Mỹ, giáo sư tại Đại học George Mason. Ông nổi tiếng với các nghiên cứu về thị trường dự đoán và suy đoán về tương lai của nhân loại.",,1959-08-28,,Hoa Kỳ
Robin Sharma,"Nhà văn, diễn giả và huấn luyện viên người Canada. Tác giả của bộ sách nổi tiếng 'Đời ngắn đừng ngủ dài' và 'Nhà lãnh đạo không chức danh'.",,1964-06-16,,Canada
Robin Wall Kimmerer,"Nhà thực vật học người Mỹ bản địa. Bà là tác giả cuốn sách kết hợp khoa học và tri thức bản địa 'Braiding Sweetgrass', nổi tiếng về triết lý bảo tồn môi trường.",,1953-09-13,,Hoa Kỳ
Robin Wells,"Nhà kinh tế học người Mỹ, đồng tác giả của nhiều giáo trình kinh tế học vĩ mô và vi mô nổi tiếng cùng chồng là Paul Krugman.",,1959-01-03,,Hoa Kỳ
Rolf Dobelli,"Doanh nhân, nhà văn Thụy Sĩ. Ông chuyên viết sách về tư duy phản biện và các lỗi nhận thức phổ biến, nổi tiếng với cuốn 'Nghệ thuật tư duy rành mạch'.",,1966-07-15,,Thụy Sĩ
Rose Elliot,"Nữ nhà văn, chuyên gia ẩm thực ăn chay người Anh. Bà đã viết hơn 50 cuốn sách về công thức nấu ăn chay, bán được hơn 3 triệu bản trên toàn thế giới.",,1945-06-22,,Anh
Rose Luckin,Giáo sư về AI và Giáo dục tại Đại học College London (UCL). Bà chuyên nghiên cứu về ứng dụng trí tuệ nhân tạo trong quá trình học tập.,,1958-08-06,,Anh
Rosie Hore,"Tác giả, biên tập viên sách thiếu nhi của nhà xuất bản Usborne. Bà chuyên viết sách kiến thức và sách tranh về cảm xúc, khoa học vui.",,,,Anh
Rosie Nguyễn,"(Nguyễn Hoàng Nguyên) Tác giả, blogger du lịch người Việt Nam. Tác phẩm 'Tuổi trẻ đáng giá bao nhiêu' của cô là cuốn sách truyền cảm hứng bán chạy nhất nhiều năm.",,,,Việt Nam
Roxie Nafousi,Chuyên gia về Luật Hấp Dẫn và Manifestation (biến điều ước thành hiện thực). Tác giả cuốn sách best-seller 'Manifest' (Khai mở tiềm năng).,,1990-01-01,,Anh
Ruby Nguyen,"Tác giả trẻ người Việt Nam, chuyên viết về nuôi dạy con cái, phát triển bản thân và lối sống tối giản.",,,,Việt Nam
Runkids,"Nhóm tác giả chuyên biên soạn sách và tài liệu giáo dục về kỹ năng sống, tư duy cảm xúc (EQ) cho trẻ em Việt Nam.",,,,Việt Nam
Rury Lee,Tác giả/Dịch giả (Thông tin chi tiết đang cập nhật).,,,,
Russ Harris,"Bác sĩ y khoa, chuyên gia tâm lý học người Úc. Ông là một trong những người phổ biến liệu pháp ACT (Acceptance and Commitment Therapy) trên thế giới.",,1969-01-01,,Úc
Ryan Holiday,"Chuyên gia marketing, tác giả người Mỹ. Ông nổi tiếng với việc ứng dụng triết học Khắc kỷ (Stoicism) vào đời sống và kinh doanh ('Ego là kẻ thù', 'Trở ngại là con đường').",,1987-06-16,,Hoa Kỳ
Ryosuke Fuji,Họa sĩ truyện tranh (Mangaka) người Nhật Bản. Ông là người vẽ minh họa cho bộ manga hành động 'Mato Seihei no Slave' và 'A Certain Scientific Accelerator'.,,,,Nhật Bản
Ryu Fujisaki,Họa sĩ truyện tranh (Mangaka) Nhật Bản. Ông là tác giả của 'Hoshin Engi' (Phong Thần Diễn Nghĩa) và các tác phẩm chuyển thể từ tiểu thuyết.,,1971-10-03,,Nhật Bản
Ryuu Shinohara,"Tác giả/Họa sĩ Nhật Bản, chuyên viết và minh họa các cuốn sách tranh về thiên nhiên và động vật.",,,,Nhật Bản
SEKI Yuko,Tác giả/Họa sĩ minh họa người Nhật Bản.,,,,Nhật Bản
SUGAWARA Yuko,Tác giả chuyên viết sách về tâm lý học và giáo dục (thường là sách ứng dụng tại nơi làm việc).,,,,Nhật Bản
Sa Môn THÍCH PHÁP HÒA,"(Thầy Thích Pháp Hòa) Thượng tọa, giảng sư Phật giáo. Thầy nổi tiếng với các bài giảng pháp nhẹ nhàng, gần gũi với đời sống hiện đại, được yêu thích tại Việt Nam và hải ngoại.",,1968-01-01,,Việt Nam
Sa Trụ Đảo,"Tác giả tiểu thuyết mạng Trung Quốc, chuyên viết về thể loại huyền huyễn, tiên hiệp và giả tưởng.",,,,Trung Quốc
Saburo Ishikawa,"Giáo sư, chuyên gia về phương pháp giáo dục. Ông viết sách về cách rèn luyện khả năng tư duy và kỹ năng học tập cho trẻ em.",,1953-01-18,,Nhật Bản
Sachin Modi,"Tác giả, diễn giả truyền động lực và chuyên gia về tài chính. Ông là tác giả cuốn 'The Power of Consistency'.",,1999-01-01,,Ấn Độ
Saekisan,Tác giả Light Novel Nhật Bản. Ông nổi tiếng với series truyện học đường hài hước 'My Stepmom's Daughter Is My Ex'.,,,,Nhật Bản
Safi Bahcall,"Nhà vật lý, doanh nhân người Mỹ. Tác giả cuốn sách đột phá 'Loonshots' về cách nuôi dưỡng những ý tưởng điên rồ, làm thay đổi thế giới.",,1968-01-01,,Hoa Kỳ
Sai Lei,"Tác giả/Họa sĩ Trung Quốc, chuyên viết các cuốn sách về mỹ thuật, hội họa và thiết kế.",,,,Trung Quốc
Saka Mikami,"Tác giả/Họa sĩ truyện tranh Nhật Bản, chuyên viết về các chủ đề lãng mạn và cuộc sống học đường.",,,,Nhật Bản
Sakurai Gamon,Họa sĩ truyện tranh (Mangaka) Nhật Bản. Tác giả của bộ manga hành động nổi tiếng 'Ajin' (Á nhân).,,1986-01-01,,Nhật Bản
Sally Coulthard,"Nhà văn người Anh, chuyên viết sách phi hư cấu về thiên nhiên, cuộc sống nông thôn và lịch sử các đồ vật thường ngày.",,1974-03-09,,Anh
Sally M. Winston,"Nhà tâm lý học, đồng sáng lập Viện Rối loạn Lo âu & Căng thẳng. Đồng tác giả cuốn sách về chữa lành lo âu 'Beyond the Worry' (Bí mật của lo âu).",,,,Hoa Kỳ
Sam Robinson,Tác giả/Chuyên gia (Thông tin chi tiết đang cập nhật).,,,,Anh
Sandra Cýneros,Tác giả tiểu thuyết (Thông tin chi tiết đang cập nhật).,,,,
Sarah Pekkanen,Tiểu thuyết gia người Mỹ. Bà nổi tiếng với các cuốn tiểu thuyết giật gân tâm lý (psychological thriller) và thường hợp tác với chị gái (Greer Hendricks).,,,,Hoa Kỳ
Sasaki Fumio,"Nhà văn, triết gia tối giản người Nhật. Tác giả cuốn sách best-seller 'Goodbye, Things' (Lối sống tối giản của người Nhật), truyền cảm hứng sống ít hơn.",,,,Nhật Bản
Sasbadi,"Công ty xuất bản và giáo dục hàng đầu Malaysia, chuyên biên soạn sách giáo khoa và tài liệu tham khảo cho học sinh.",,,,Malaysia
Scott Todnem,Chuyên gia tư vấn thương hiệu và đổi mới sáng tạo. Ông là tác giả của các cuốn sách về sáng tạo và giải quyết vấn đề.,,,,Hoa Kỳ
Sean Carroll,"Nhà vật lý lý thuyết, vũ trụ học người Mỹ. Ông là giáo sư tại Caltech, nổi tiếng với việc phổ biến khoa học qua các cuốn sách về vũ trụ và thời gian.",,1966-05-10,,Hoa Kỳ
Sean Covey,"Doanh nhân, diễn giả, Chủ tịch FranklinCovey Education. Tác giả của '7 thói quen tuổi teen thành đạt' (The 7 Habits of Highly Effective Teens).",,1964-09-17,,Hoa Kỳ
Sean Frontz,Chuyên gia về nghệ thuật giao tiếp và ngôn ngữ cơ thể. Đồng tác giả các cuốn sách về kỹ năng thuyết trình.,,,,Hoa Kỳ
Sean Julian,Tác giả/Họa sĩ (Thông tin chi tiết đang cập nhật).,,,,
Sean Lim,"Tác giả/Chuyên gia Hàn Quốc, chuyên viết sách về kỹ năng tài chính, kinh doanh và đầu tư.",,,,Hàn Quốc
Sean Pillot de Chenecey,"Chuyên gia thương hiệu, diễn giả người Anh. Ông chuyên nghiên cứu về xu hướng văn hóa tiêu dùng và đạo đức kinh doanh.",,,,Anh
Sempé,"(Jean-Jacques Sempé) Họa sĩ biếm họa, tác giả truyện tranh người Pháp. Ông là cha đẻ của nhân vật thiếu nhi kinh điển 'Nhóc Nicolas' (Le Petit Nicolas).",,1932-08-17,2022-11-08,Pháp
Sergey Filonov,"Tác giả/Học giả người Nga, chuyên viết sách về lịch sử văn hóa, thần thoại và triết học phương Đông.",,,,Nga
Shahid Hussain,Tác giả/Chuyên gia (Thông tin chi tiết đang cập nhật).,,,,Pakistan
Shannon Thomas,"Nhà trị liệu tâm lý, chuyên gia phục hồi từ các mối quan hệ độc hại (Hidden Abuse). Tác giả của cuốn sách bán chạy 'Healing from Hidden Abuse'.",,1971-07-27,,Hoa Kỳ
Shefali Tsabary,"Tiến sĩ tâm lý học lâm sàng, diễn giả người Canada gốc Ấn. Bà là người sáng lập 'Parenting Revolution', chuyên về nuôi dạy con cái tỉnh thức (Conscious Parenting).",,1972-01-01,,Canada
Shelby Van Pelt,"Nhà văn người Mỹ. Tiểu thuyết đầu tay của cô, 'Remarkably Bright Creatures' (Tạo vật rực rỡ một cách lạ thường), đã trở thành hiện tượng văn học và bán chạy toàn cầu.",,,,Hoa Kỳ
Shichiri Nakayama,Nhà văn trinh thám người Nhật Bản. Ông nổi tiếng với các tiểu thuyết trinh thám âm nhạc và giật gân tâm lý.,,1961-01-01,,Nhật Bản
Shigeaki Hinohara,"Bác sĩ người Nhật, chuyên gia về lão khoa và kéo dài tuổi thọ. Ông nổi tiếng với lối sống tích cực và cuốn sách 'Sống như người Nhật' (The 10 Habits of 100-Year-Olds).",,1911-04-10,2017-07-18,Nhật Bản
Shiomi Toshiyuki,"Tác giả/Chuyên gia người Nhật Bản, chuyên viết sách về quản lý và tổ chức công việc theo phương pháp của Nhật.",,,,Nhật Bản
Siddhartha Mukherjee,"Bác sĩ, nhà nghiên cứu ung thư và tác giả người Mỹ gốc Ấn. Ông đoạt giải Pulitzer cho cuốn sách 'Hoàng đế của mọi bệnh tật' (The Emperor of All Maladies) - tiểu sử của bệnh ung thư.",,1970-07-21,,Hoa Kỳ
Sigmund Freud,"Bác sĩ thần kinh người Áo, cha đẻ của trường phái Phân tâm học (Psychoanalysis). Tư tưởng của ông có ảnh hưởng sâu sắc đến tâm lý học, văn học và văn hóa phương Tây.",,,1939-09-23,Áo
Simon Sinek,"Tác giả, diễn giả truyền cảm hứng người Anh gốc Mỹ. Ông nổi tiếng với khái niệm 'Bắt đầu với Tại sao' (Start With Why) và cuốn sách 'Trò chơi vô hạn'.",,1973-09-10,,Anh
Simon Winchester,"Nhà báo, sử gia người Anh-Mỹ. Tác giả của các cuốn sách phi hư cấu bán chạy về lịch sử, địa lý và từ điển học, như 'Giáo sư và người điên'.",,1944-09-28,,Anh
Simone Masserini,"Họa sĩ minh họa người Ý, chuyên vẽ tranh cho sách thiếu nhi và các ấn phẩm về thiên nhiên, động vật.",,,,Ý
Sir Arthur Conan Doyle,"Nhà văn Scotland, cha đẻ của nhân vật thám tử lừng danh Sherlock Holmes, một trong những biểu tượng văn học trinh thám vĩ đại nhất mọi thời đại.",,,1930-07-07,Scotland
So Yun,Tác giả/Họa sĩ truyện tranh (Webtoon) Hàn Quốc (Thông tin chi tiết đang cập nhật).,,,,Hàn Quốc
Somato,Tác giả (Thông tin chi tiết đang cập nhật).,,,,
Song Hong Bing,Nhà kinh tế học người Trung Quốc. Tác giả của cuốn sách gây tranh cãi về kinh tế thế giới 'Chiến tranh tiền tệ' (Currency Wars).,,1968-01-01,,Trung Quốc
Song Hà,"(Tác giả/Biên soạn) Tác giả chuyên viết về lịch sử, văn hóa hoặc sách tham khảo (tránh nhầm với địa danh).",,,,Việt Nam
Song Minh,Tác giả/Dịch giả (Thông tin chi tiết đang cập nhật).,,,,Việt Nam
Stefan Zweig,"Nhà văn, nhà viết tiểu sử người Áo. Ông là một trong những nhà văn nổi tiếng nhất thế giới với các tiểu thuyết tâm lý sắc sảo như 'Kiên nhẫn của trái tim', 'Sự sụp đổ của một nhà độc tài'.",,,1942-02-23,Áo
Stefania Leonardi Harley,"Tác giả sách thiếu nhi người Ý. Cô chuyên viết các câu chuyện về cảm xúc, tình bạn và sự tự tin cho trẻ em.",,,,Ý
Stephan Pastis,"Họa sĩ truyện tranh, nhà văn người Mỹ. Tác giả của strip comic nổi tiếng 'Pearls Before Swine' và bộ sách thiếu nhi 'Timmy Failure'.",,1968-01-16,,Hoa Kỳ
Stephanie Garber,Nhà văn Mỹ chuyên viết tiểu thuyết giả tưởng cho thanh thiếu niên (YA Fantasy). Bà nổi tiếng với loạt truyện 'Caraval' và 'Once Upon a Broken Heart'.,,1987-08-07,,Hoa Kỳ
Stephanie Kirby,Tác giả chuyên viết sách về sức khỏe tâm lý và kỹ năng tự lực.,,,,Hoa Kỳ
Stephen Hanselman,"Tác giả, biên tập viên và dịch giả. Ông là đồng tác giả của các cuốn sách phổ biến triết học Khắc kỷ (Stoicism) như 'The Obstacle Is the Way' cùng Ryan Holiday.",,,,Hoa Kỳ
Stephen King,"Tiểu thuyết gia người Mỹ, được mệnh danh là 'Ông hoàng kinh dị'. Tác phẩm của ông đã định hình thể loại kinh dị, giật gân, viễn tưởng hiện đại.",,1947-09-21,,Hoa Kỳ
Stephen Witt,"Nhà báo, tác giả người Mỹ. Ông nổi tiếng với các tác phẩm phi hư cấu điều tra sâu về công nghệ và xã hội.",,1979-01-01,,Hoa Kỳ
Steve Harvey,"Diễn viên hài, MC và tác giả người Mỹ. Ông nổi tiếng với cuốn sách về mối quan hệ 'Act Like a Lady, Think Like a Man' (Hành xử như phụ nữ, suy nghĩ như đàn ông).",,1957-01-17,,Hoa Kỳ
Steve Nison,Nhà phân tích tài chính người Mỹ. Ông là người tiên phong giới thiệu kỹ thuật Phân tích nến Nhật (Candlestick Charting) ra thế giới phương Tây.,,,,Hoa Kỳ
Steve Rivkin,Chuyên gia tư vấn marketing và truyền thông người Mỹ. Ông là tác giả sách về chiến lược định vị thương hiệu và giao tiếp.,,1947-01-13,2016-11-16,Hoa Kỳ
Steve Siebold,"Diễn giả, huấn luyện viên tinh thần. Tác giả cuốn sách về tư duy người giàu 'How Rich People Think'.",,,,Hoa Kỳ
Steven Schuster,Tác giả/Chuyên gia (Thông tin chi tiết đang cập nhật).,,,,
Stuart Farrimond,"Chuyên gia khoa học thực phẩm, tác giả sách khoa học bán chạy (Thường cộng tác với DK). Tác giả cuốn 'The Science of Cooking'.",,1982-04-17,,Anh
Stush,Tác giả sách (Thông tin chi tiết đang cập nhật).,,,,
Sung-Kyung Park,Tác giả/Họa sĩ minh họa người Hàn Quốc (Thông tin chi tiết đang cập nhật).,,,,Hàn Quốc
Susanna Abse,"Nhà tâm lý trị liệu, chuyên gia về mối quan hệ người Anh. Bà tư vấn về các vấn đề gia đình, hôn nhân và tâm lý trẻ em.",,,,Anh
Suzu Yuki,Tác giả Light Novel Nhật Bản (Thông tin chi tiết đang cập nhật).,,,,Nhật Bản
Suzuki Hiroshi,"Tác giả/Chuyên gia người Nhật Bản, chuyên viết sách về kỹ năng lập trình, công nghệ hoặc các chủ đề kinh tế.",,,,Nhật Bản
Suzuki Mio,"Họa sĩ minh họa sách thiếu nhi người Nhật Bản. Các tác phẩm của cô thường mang nét vẽ đơn giản, tươi sáng và nhiều màu sắc.",,,,Nhật Bản
Suzy Senior,"Tác giả sách thiếu nhi người Anh. Bà nổi tiếng với các câu chuyện vui nhộn, vần điệu và giàu tính giáo dục cho lứa tuổi mầm non.",,,,Anh
Suối Thông,Tác giả/Bút danh văn học mạng Việt Nam (Thông tin chi tiết đang cập nhật).,,,,Việt Nam
Svetlana Alexievich,"Nhà báo điều tra, nhà văn thể loại văn xuôi hiện thực người Belarus. Bà đoạt giải Nobel Văn học 2015 nhờ lối viết độc đáo, ghi lại những ký ức đau thương của thời đại Xô viết.",,1948-05-31,,Belarus
Swami Amar Jyoti,"Nhà hiền triết, đạo sư tâm linh người Ấn Độ. Ông là người sáng lập Hội Ánh Sáng (Light of Consciousness) và viết nhiều sách về Yoga, thiền định.",,1928-09-24,2001-01-08,Ấn Độ
Sylvia Loehken,"Tiến sĩ, chuyên gia tư vấn người Đức. Bà là tác giả cuốn sách nổi tiếng 'Sức mạnh của người hướng nội' (The Power of Introverts).",,1963-01-01,,Đức
Séverine de la Croix,Tác giả sách thiếu nhi người Pháp. Bà chuyên viết các cuốn sách tranh về giáo dục cảm xúc và các chủ đề xã hội cho trẻ em.,,1985-03-22,,Pháp
Sơn Tùng,"Nhà văn Việt Nam, nổi tiếng với các tác phẩm tiểu sử, nghiên cứu về cuộc đời Chủ tịch Hồ Chí Minh (Ví dụ: 'Búp sen xanh').",,1928-01-01,2022-02-23,Việt Nam
T. Harv Eker,"Doanh nhân, diễn giả người Canada. Ông nổi tiếng với lý thuyết về thiết lập tài chính và cuốn sách 'Bí mật tư duy triệu phú' (Secrets of the Millionaire Mind).",,1954-10-06,,Canada
THE WOKE SALARYMAN,"Nhóm tác giả (Thường là bút danh) chuyên viết về tài chính cá nhân, đầu tư và sự nghiệp theo phong cách hài hước, hiện đại.",,,,Singapore
TS Lê Hồng Nhung,"Tiến sĩ Luật học, giảng viên Đại học Luật Hà Nội. Bà chuyên nghiên cứu về Luật Hiến pháp và Luật Hành chính.",,,,Việt Nam
TS Parag Mahajan,"Tiến sĩ, chuyên gia về quản trị nguồn nhân lực và hiệu suất tổ chức. Tác giả cuốn 'Nghệ thuật xây dựng đội nhóm'.",,,,Ấn Độ
TS Đào Xuân Khương,"Tiến sĩ Kinh tế, chuyên gia tư vấn chiến lược và thương mại điện tử. Ông là tác giả các cuốn sách về bán hàng và kinh doanh trực tuyến.",,,,Việt Nam
TS. Bác Sĩ Bành Tân,Bác sĩ y học cổ truyền Trung Quốc. Chuyên gia về phương pháp chẩn đoán và điều trị bệnh bằng Đông y.,,,,Trung Quốc
TS. David J. Lieberman,"Tiến sĩ Tâm lý học, chuyên gia về hành vi và giao tiếp người Mỹ. Ông là tác giả của các cuốn sách về đọc vị người khác và thôi miên.",,1960-01-01,,Hoa Kỳ
TS. Lê Đắc Nhường,"Tiến sĩ, chuyên gia về tài chính và kế toán. Ông là tác giả của nhiều giáo trình đại học uy tín về tài chính doanh nghiệp.",,,,Việt Nam
TS. Nguyễn Văn Thuấn,"Tiến sĩ, giảng viên đại học. Ông chuyên viết sách về quản trị nhân sự, văn hóa doanh nghiệp và tâm lý học quản lý.",,,,Việt Nam
TS. Travis Bradberry,"Tiến sĩ Tâm lý học lâm sàng, đồng sáng lập TalentSmart. Ông là chuyên gia hàng đầu về Trí tuệ cảm xúc (EQ) và hiệu suất công việc.",,1970-01-01,,Hoa Kỳ
Tahar Ben Jelloun,"Nhà văn người Maroc viết bằng tiếng Pháp. Tác phẩm của ông khám phá các vấn đề xã hội, văn hóa và tình yêu tại Bắc Phi (ví dụ: 'Đứa trẻ cát').",,1944-01-12,,Maroc
Tahl Raz,"Nhà báo, biên tập viên và tác giả người Mỹ. Ông nổi tiếng với vai trò đồng tác giả cuốn sách về sức mạnh của thói quen 'Tự lực tinh thần' (Never Split the Difference).",,1973-01-01,,Hoa Kỳ
Takano Kazuaki,"Tiểu thuyết gia Nhật Bản, nổi tiếng với các tiểu thuyết trinh thám, giật gân có yếu tố khoa học (ví dụ: 'Thập tự giá nhỏ').",,1964-10-26,,Nhật Bản
Takara,"(Nhóm biên soạn) Tập thể tác giả/biên tập viên, thường hợp tác với công ty Takara Tomy, chuyên biên soạn sách thiếu nhi và sách thủ công.",,,,Nhật Bản
Takashi Saito,"Tác giả/Chuyên gia người Nhật Bản, chuyên viết sách về kỹ năng kinh doanh, phát triển bản thân và quản lý thời gian.",,1968-01-01,,Nhật Bản
Takemachi,"Tác giả Light Novel Nhật Bản, nổi tiếng với các tác phẩm về tình cảm lãng mạn và cuộc sống học đường (ví dụ: 'Anh trai tôi đã đính hôn với một cô gái khác').",,,,Nhật Bản
Takeshi Furukawa,"Tác giả người Nhật Bản, chuyên gia về năng suất và quản lý thời gian. Ông nổi tiếng với cuốn sách 'Mỗi ngày tiết kiệm 1 giờ' và các phương pháp làm việc hiệu quả.",,1977-01-01,,Nhật Bản
Tanaka Yone,"Họa sĩ minh họa người Nhật Bản, chuyên vẽ minh họa cho các tiểu thuyết Light Novel và tạp chí văn học.",,,,Nhật Bản
Tanith Carey,"Nhà báo, tác giả người Anh chuyên về nuôi dạy con cái, tâm lý tuổi teen và các xu hướng xã hội. Bà là một tiếng nói nổi bật trong lĩnh vực hành vi trẻ em.",,1970-01-01,,Anh
Tara Swart,"Bác sĩ y khoa, nhà thần kinh học và huấn luyện viên lãnh đạo người Anh. Bà nghiên cứu về mối liên hệ giữa khoa học thần kinh và hiệu suất công việc (The Source).",,1980-03-08,,Anh
Tara Westover,"Nhà văn Mỹ, tác giả cuốn hồi ký bán chạy 'Học vấn' (Educated), kể về câu chuyện cô tự học và vươn lên từ gia đình cực đoan để lấy bằng tiến sĩ tại Cambridge.",,1986-09-27,,Hoa Kỳ
Tatsuki Fujimoto,Họa sĩ truyện tranh (Mangaka) thiên tài người Nhật Bản. Tác giả của các bộ manga đình đám 'Chainsaw Man' và 'Fire Punch'.,,1993-10-10,,Nhật Bản
Tatsuya Endo,"Họa sĩ truyện tranh (Mangaka) Nhật Bản. Tác giả của bộ truyện điệp viên hài hước 'Spy × Family' (Gia đình điệp viên), một trong những manga bán chạy nhất mọi thời đại.",,1980-07-23,,Nhật Bản
Tea Kim,"Tác giả, chuyên gia về tâm lý học và phát triển bản thân.",,,,Hàn Quốc
Teppei Sugiyama,Tác giả sách kỹ năng và kinh doanh người Nhật Bản (Thông tin chi tiết đang cập nhật).,,,,Nhật Bản
ThS. Nguyễn Anh Vũ,"Thạc sĩ Kinh tế, tác giả sách về tài chính, chứng khoán và đầu tư.",,,,Việt Nam
ThS. Nguyễn Bá Duẩn,"Thạc sĩ, giảng viên đại học. Ông chuyên biên soạn các tài liệu học thuật và sách tham khảo (thường về Luật hoặc Kinh tế).",,,,Việt Nam
ThS. Vũ Tiến Chương,"Thạc sĩ, chuyên gia tư vấn. Ông là tác giả sách về kỹ năng mềm và nghệ thuật giao tiếp.",,,,Việt Nam
Thales S. Teixeira,Giáo sư trường Kinh doanh Harvard (HBS). Ông là chuyên gia về chiến lược kinh doanh kỹ thuật số và cạnh tranh trong kỷ nguyên số.,,,,Brazil
Thanh Hương,"Tác giả, chuyên gia về phương pháp học tiếng Anh và phát triển bản thân. Cô thường viết các cuốn sách truyền cảm hứng và kỹ năng.",,1970-01-01,,Việt Nam
The Gurus,(Nhóm tác giả) Nhóm các chuyên gia về tâm lý học hành vi và tư duy phát triển. Tác phẩm của họ tập trung vào sự thông thái cổ xưa và tâm linh.,,,,Hoa Kỳ
The School Of Life,"(Trường học Cuộc sống) Tập thể triết gia, nhà tâm lý học và nhà văn, chuyên biên soạn các cuốn sách về triết học đời thường, tâm lý và cảm xúc.",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
The Zhishi,"(Nhóm tác giả) Nhóm học giả, nhà nghiên cứu Trung Quốc, chuyên biên soạn các cuốn sách bách khoa toàn thư và sách kiến thức tổng hợp.",,,,Trung Quốc
Theodore Dimon,"Tiến sĩ, nhà giáo dục và tác giả. Ông chuyên nghiên cứu về sinh lý học và giáo dục sức khỏe, viết các sách về tư thế và vận động cơ thể.",,1956-01-01,,Hoa Kỳ
Thi Nại Am,"Tiểu thuyết gia thời Nguyên - Minh (Trung Quốc). Ông là tác giả của tiểu thuyết kinh điển 'Thủy Hử' (Water Margin), một trong Tứ đại danh tác.",,,,Trung Quốc
Thibaut Meurisse,"Tác giả người Pháp chuyên viết về năng suất, thói quen và phát triển bản thân theo phong cách thực tế, cô đọng.",,,,Pháp
Thiên Kim,"Tác giả/Dịch giả (Lưu ý: Tên trùng với ca sĩ/diễn viên. Trong ngữ cảnh sách, thường là người viết tản văn hoặc tiểu thuyết).",,,,Việt Nam
Thomas A. Williams,Tác giả sách (Thông tin chi tiết đang cập nhật).,,,1900-12-23,Hoa Kỳ
Thomas Asbridge,"Nhà sử học người Anh, giáo sư tại Queen Mary University of London. Ông chuyên nghiên cứu về Thập tự chinh và lịch sử Trung Cổ.",,1969-04-16,,Anh
Thomas E. Ricks,"Nhà báo quân sự, tác giả người Mỹ đoạt giải Pulitzer. Ông chuyên viết sách về Lầu Năm Góc, chiến lược quốc phòng và chiến tranh ở Iraq/Afghanistan.",,1955-09-25,,Hoa Kỳ
Thomas Harris,"Nhà văn Mỹ, tác giả của bộ tiểu thuyết giật gân tâm lý về kẻ ăn thịt người Hannibal Lecter (Sự im lặng của bầy cừu).",,1940-11-04,,Hoa Kỳ
Thomas L. Friedman,"Nhà báo, nhà bình luận người Mỹ (The New York Times), đoạt 3 giải Pulitzer. Ông viết về các vấn đề toàn cầu hóa, môi trường và chính trị đối ngoại.",,1953-07-20,,Hoa Kỳ
Thomas Mann,"Tiểu thuyết gia người Đức, giải Nobel Văn học 1929. Tác phẩm của ông nổi tiếng với sự sâu sắc về tâm lý nghệ sĩ và phê bình xã hội.",,,1955-12-08,Đức
Thomas More,"Luật sư, triết gia, chính khách Anh thời Phục hưng. Tác giả cuốn tiểu thuyết chính trị - xã hội kinh điển 'Utopia' (Không tưởng).",,,,Anh
Thomas Schlesser,"Nhà sử học nghệ thuật, tác giả người Pháp. Ông là giám đốc Quỹ Claude Monet và viết nhiều sách về triết lý nghệ thuật.",,1977-08-12,,Pháp
Ths. Nguyễn Mạnh Linh,"Thạc sĩ, chuyên gia phong thủy và nghiên cứu văn hóa truyền thống. Ông là tác giả của các cuốn sách về phong thủy ứng dụng trong đời sống.",,,,Việt Nam
Thành Châu,"Dịch giả/Tác giả Việt Nam, chuyên chuyển ngữ các tác phẩm văn học, lịch sử và sách triết học.",,,,Việt Nam
Thái An,"Dịch giả hoặc tác giả, chuyên viết sách về giáo dục, tâm lý học hoặc văn học.",,,,Việt Nam
Thái Nhật Phượng,Tác giả/Chuyên gia (Thông tin chi tiết đang cập nhật).,,,,Việt Nam
Thân Thị Sơn Nhân,"(Sơn Nhân) Dịch giả nổi tiếng, người chuyển ngữ nhiều tác phẩm văn học và sách kinh tế từ tiếng Anh sang tiếng Việt.",,,,Việt Nam
